Time,Inv 1 AC-Leistung (W)
2023-09-14,1328.6202W
2023-09-15,2254.0891W
2023-09-16,3189.4487W
2023-09-17,3691.9937W
2023-09-18,2271.8896W
2023-09-19,2834.2273W
2023-09-20,3431.6689W
2023-09-21,2949.3921W
2023-09-22,2135.6406W
2023-09-23,444.7872W
2023-09-24,429.1611W
2023-09-25,701.8600W
2023-09-26,3500.9866W
2023-09-27,3441.8601W
2023-09-28,3581.9060W
2023-09-29,3732.5715W
2023-09-30,2466.6572W
2023-10-01,3423.7095W
2023-10-02,3570.6736W
2023-10-03,3587.7449W
2023-10-04,1446.3217W
2023-10-05,3030.6458W
2023-10-06,3721.6267W
2023-10-07,3263.0071W
2023-10-08,669.2482W
2023-10-09,2391.3188W
2023-10-10,1889.9143W
2023-10-11,3538.8298W
2023-10-12,3234.6116W
2023-10-13,3344.9143W
2023-10-14,3479.2102W
2023-10-15,438.0454W
2023-10-16,3765.3914W
2023-10-17,3017.9778W
2023-10-18,2729.9265W
2023-10-19,1809.7926W
2023-10-20,1319.0461W
2023-10-21,1482.0376W
2023-10-22,3028.2749W
2023-10-23,2787.7144W
2023-10-24,163.6000W
2023-10-25,897.8626W
2023-10-26,1510.9000W
2023-10-27,1147.4500W
2023-10-28,2147.2656W
2023-10-29,1721.1473W
2023-10-30,782.5806W
2023-10-31,203.6080W
2023-11-01,3193.2092W
2023-11-02,1131.6666W
2023-11-03,495.1465W
2023-11-04,2910.1350W
2023-11-05,2688.8501W
2023-11-06,3023.2800W
2023-11-07,2821.6128W
2023-11-08,2888.0081W
2023-11-09,2001.2927W
2023-11-10,224.6581W
2023-11-11,1269.8488W
2023-11-12,2198.2952W
2023-11-13,968.6334W
2023-11-14,1017.9750W
2023-11-15,1407.1583W
2023-11-16,963.4750W
2023-11-17,691.9474W
2023-11-18,964.6949W
2023-11-19,1337.0513W
2023-11-20,591.4483W
2023-11-21,207.0251W
2023-11-22,952.0531W
2023-11-23,1217.4562W
2023-11-24,318.5310W
2023-11-25,1160.9224W
2023-11-26,1226.6228W
2023-11-27,933.7679W
2023-11-28,896.3091W
2023-11-29,213.0741W
2023-11-30,132.1308W
2023-12-01,165.2076W
2023-12-02,247.1143W
2023-12-03,83.8962W
2023-12-04,79.1456W
2023-12-05,348.3394W
2023-12-06,1887.4862W
2023-12-07,1298.9099W
2023-12-08,142.6990W
2023-12-09,237.3832W
2023-12-10,49.7822W
2023-12-11,668.9720W
2023-12-12,2244.0178W
2023-12-13,2794.0000W
2023-12-14,1312.7222W
2023-12-15,1800.6909W
2023-12-16,289.4762W
2023-12-17,706.9725W
2023-12-18,1008.9907W
2023-12-19,276.9906W
2023-12-20,76.1274W
2023-12-21,517.7798W
2023-12-22,1296.7181W
2023-12-23,2489.0818W
2023-12-24,1748.1455W
2023-12-25,2015.6608W
2023-12-26,1615.5765W
2023-12-27,2217.9106W
2023-12-28,2062.1711W
2023-12-29,2602.2590W
2023-12-30,784.6389W
2023-12-31,982.3455W
2024-01-01,2419.6758W
2024-01-02,2412.6460W
2024-01-03,161.8440W
2024-01-04,2595.6577W
2024-01-05,993.2056W
2024-01-06,2594.1379W
2024-01-07,1451.1913W
2024-01-08,1938.4197W
2024-01-09,203.0935W
2024-01-10,1755.5714W
2024-01-11,704.3452W
2024-01-12,2025.2655W
2024-01-13,1047.7028W
2024-01-14,3148.0608W
2024-01-15,605.7105W
2024-01-16,79.7500W
2024-01-17,267.5872W
2024-01-18,909.5398W
2024-01-19,322.7787W
2024-01-20,539.8348W
2024-01-21,752.9310W
2024-01-22,125.2212W
2024-01-23,83.0935W
2024-01-24,174.7193W
2024-01-25,259.1239W
2024-01-26,176.3214W
2024-01-27,452.6667W
2024-01-28,38.3604W
2024-01-29,526.0818W
2024-01-30,2583.8196W
2024-01-31,3417.6829W
2024-02-01,3367.6453W
2024-02-02,378.1207W
2024-02-03,2247.0000W
2024-02-04,2019.3760W
2024-02-05,3805.9048W
2024-02-06,1847.3096W
2024-02-07,3984.9370W
2024-02-08,1683.9919W
2024-02-09,3873.3438W
2024-02-10,3942.9612W
2024-02-11,2986.5649W
2024-02-12,3342.5308W
2024-02-13,4006.0923W
