Time,Inv 1 AC-Leistung (W)
04.12.2019,3309.042W
05.12.2019,167.5701W
06.12.2019,1459.9454W
07.12.2019,1349.0909W
08.12.2019,2480.6001W
09.12.2019,1253.6415W
10.12.2019,2156.009W
11.12.2019,2775.5364W
12.12.2019,264.2212W
13.12.2019,689.1373W
14.12.2019,1604.072W
15.12.2019,1347.2819W
16.12.2019,799.3818W
17.12.2019,367.1W
18.12.2019,603.619W
19.12.2019,997.0093W
20.12.2019,1987.3458W
21.12.2019,63.3069W
22.12.2019,146.9135W
23.12.2019,925.7009W
24.12.2019,2153.3303W
25.12.2019,2088.1482W
26.12.2019,1147.0367W
27.12.2019,404.5364W
28.12.2019,2358.4495W
29.12.2019,1467.0088W
30.12.2019,2154.7981W
31.12.2019,2368.791W
01.01.2020,2418.1492W
02.01.2020,2730.6091W
03.01.2020,1813.3423W
04.01.2020,822.9266W
05.01.2020,2809.8481W
06.01.2020,2792.5576W
07.01.2020,2728.9729W
08.01.2020,2791.5615W
09.01.2020,1792.2192W
10.01.2020,2615.3071W
11.01.2020,2922.2261W
12.01.2020,3066.416W
13.01.2020,2379.1812W
14.01.2020,1739.5664W
15.01.2020,1142.0261W
16.01.2020,2902.8174W
17.01.2020,167.8468W
18.01.2020,46.2703W
19.01.2020,1258.4386W
20.01.2020,1726.687W
21.01.2020,3242.1101W
22.01.2020,3210.4785W
23.01.2020,1189.0603W
24.01.2020,617.0862W
25.01.2020,1304.2844W
26.01.2020,490.8696W
27.01.2020,3175.1111W
28.01.2020,1719.375W
29.01.2020,2252.0166W
30.01.2020,3391.7251W
31.01.2020,991.562W
01.02.2020,3417.7212W
02.02.2020,2770.3008W
03.02.2020,1964.6528W
04.02.2020,561.3197W
05.02.2020,2473.4719W
06.02.2020,2975.6533W
07.02.2020,3148.96W
08.02.2020,3251.6143W
09.02.2020,3341.8015W
10.02.2020,2605.3413W
11.02.2020,3885.2178W
12.02.2020,3026.0615W
13.02.2020,2114.2266W
14.02.2020,3740.969W
15.02.2020,3331.9773W
16.02.2020,3053.2153W
17.02.2020,3253.7197W
18.02.2020,3151.6462W
19.02.2020,1060.4274W
20.02.2020,2886.0676W
21.02.2020,4177.2559W
22.02.2020,3007.5293W
23.02.2020,1810.8646W
24.02.2020,1240.6544W
25.02.2020,3311.8115W
26.02.2020,171.5938W
27.02.2020,3554.9119W
28.02.2020,4185.0576W
29.02.2020,927.6957W
01.03.2020,996.7518W
02.03.2020,2839.8896W
03.03.2020,1297.9781W
04.03.2020,2705.6409W
05.03.2020,3856.9858W
06.03.2020,417.3022W
07.03.2020,2686.6714W
08.03.2020,3496.8057W
09.03.2020,1985.1586W
10.03.2020,3386.1587W
11.03.2020,2980.5137W
12.03.2020,3832.7144W
13.03.2020,380.6966W
14.03.2020,2070.7056W
15.03.2020,4663.5542W
16.03.2020,4491.7617W
