Time,Inv 1 AC-Leistung (W)
2023-09-14,158.3649
2023-09-15,15.56
2023-09-16,18.26
2023-09-17,1.14
2023-09-18,0.0
2023-09-19,2.27
2023-09-20,2.2
2023-09-21,1.07
2023-09-22,0.291339131
2023-09-23,17.16
2023-09-24,1.021
2023-09-25,2.085
2023-09-26,179.161971
2023-09-27,1.171
2023-09-28,0.0
2023-09-29,19.9
2023-09-30,154.9881
2023-10-01,0.0
2023-10-02,59.53
2023-10-03,0.0
2023-10-04,49.542
2023-10-05,17.926790041957755
2023-10-06,10.1044
2023-10-07,10.35
2023-10-08,93.795
2023-10-09,32.87
2023-10-10,59.69328
2023-10-11,33.18
2023-10-12,1.42
2023-10-13,26.606
2023-10-14,37.93
2023-10-15,10.103228
2023-10-16,4.83
2023-10-17,61.24
2023-10-18,0.0
2023-10-19,0.0
2023-10-20,13.52
2023-10-21,12.29
2023-10-22,49.5184
2023-10-23,113.55
2023-10-24,16.9173
2023-10-25,5.415
2023-10-26,1.44
2023-10-27,8.83
2023-10-28,10.09215408
2023-10-29,5.59
2023-10-30,3.307
2023-10-31,0.0
2023-11-01,26.554
2023-11-02,0.0
2023-11-03,0.0
2023-11-04,12.77
2023-11-05,0.0
2023-11-06,123.79
2023-11-07,11.87
2023-11-08,15.49
2023-11-09,28.14
2023-11-10,0.0
2023-11-11,3.38
2023-11-12,13.88
2023-11-13,274.563
2023-11-14,0.0
2023-11-15,62.65
2023-11-16,206.43
2023-11-17,346.22
2023-11-18,5.1489
2023-11-19,22.82
2023-11-20,0.0
2023-11-21,1.33775
2023-11-22,2.12
2023-11-23,5.06
2023-11-24,0.0
2023-11-25,21.835
2023-11-26,3.537
2023-11-27,15.465
2023-11-28,0.871859985
2023-11-29,0.0
2023-11-30,20.38
2023-12-01,0.0
2023-12-02,55.8514
2023-12-03,23.95
2023-12-04,0.0
2023-12-05,43.2321
2023-12-06,5403.29
2023-12-07,0.0
2023-12-08,5.540764
2023-12-09,246.119
2023-12-10,22.585
2023-12-11,2.65
2023-12-12,1.99
2023-12-13,23.34
2023-12-14,100.25
2023-12-15,10.237
2023-12-16,0.0
2023-12-17,14.9
2023-12-18,10.49
2023-12-19,0.0
2023-12-20,28.75
2023-12-21,3.083
2023-12-22,185.386
2023-12-23,27.39
2023-12-24,0.0
2023-12-25,0.0
2023-12-26,0.0
2023-12-27,0.0
2023-12-28,0.0
2023-12-29,127.0
2023-12-30,0.0
2023-12-31,16.028
2024-01-01,19.9
2024-01-02,11.62
2024-01-03,12.35
2024-01-04,0.478426029
2024-01-05,0.0
2024-01-06,0.0
2024-01-07,10.29
2024-01-08,0.0123
2024-01-09,21.84
2024-01-10,10.51
2024-01-11,35.485
2024-01-12,14.15
2024-01-13,25.0
2024-01-14,0.0
2024-01-15,15.08
2024-01-16,303.85249
2024-01-17,25.98
2024-01-18,0.0
2024-01-19,27.79
2024-01-20,1.6
2024-01-21,20.87
2024-01-22,1.01
2024-01-23,1.42
2024-01-24,12.74
2024-01-25,9.64
2024-01-26,2925.98826
2024-01-27,22.11
2024-01-28,0.0
2024-01-29,19.42
2024-01-30,11.60912146
2024-01-31,220.06366
2024-02-01,33.519
2024-02-02,3.759
2024-02-03,373.12
2024-02-04,51.55
2024-02-05,2.65
2024-02-06,20.94
2024-02-07,35.79836
2024-02-08,4.681
2024-02-09,210.54
2024-02-10,22.226
2024-02-11,11.41
2024-02-12,11.46
2024-02-13,4.84
2024-02-14,0.0
2024-02-15,1.87
2024-02-16,2.017
2024-02-17,207.57
2024-02-18,0.0
2024-02-19,33.51
2024-02-20,31.1
