Time,Inv 1 AC-Leistung (W)
2019-12-04,3309.042W
2019-12-05,167.5701W
2019-12-06,1459.9454W
2019-12-07,1349.0909W
2019-12-08,2480.6001W
2019-12-09,1253.6415W
2019-12-10,2156.009W
2019-12-11,2775.5364W
2019-12-12,264.2212W
2019-12-13,689.1373W
2019-12-14,1604.072W
2019-12-15,1347.2819W
2019-12-16,799.3818W
2019-12-17,367.1W
2019-12-18,603.619W
2019-12-19,997.0093W
2019-12-20,1987.3458W
2019-12-21,63.3069W
2019-12-22,146.9135W
2019-12-23,925.7009W
2019-12-24,2153.3303W
2019-12-25,2088.1482W
2019-12-26,1147.0367W
2019-12-27,404.5364W
2019-12-28,2358.4495W
2019-12-29,1467.0088W
2019-12-30,2154.7981W
2019-12-31,2368.791W
2020-01-01,2418.1492W
2020-01-02,2730.6091W
2020-01-03,1813.3423W
2020-01-04,822.9266W
2020-01-05,2809.8481W
2020-01-06,2792.5576W
2020-01-07,2728.9729W
2020-01-08,2791.5615W
2020-01-09,1792.2192W
2020-01-10,2615.3071W
2020-01-11,2922.2261W
2020-01-12,3066.416W
2020-01-13,2379.1812W
2020-01-14,1739.5664W
2020-01-15,1142.0261W
2020-01-16,2902.8174W
2020-01-17,167.8468W
2020-01-18,46.2703W
2020-01-19,1258.4386W
2020-01-20,1726.687W
2020-01-21,3242.1101W
2020-01-22,3210.4785W
2020-01-23,1189.0603W
2020-01-24,617.0862W
2020-01-25,1304.2844W
2020-01-26,490.8696W
2020-01-27,3175.1111W
2020-01-28,1719.375W
2020-01-29,2252.0166W
2020-01-30,3391.7251W
2020-01-31,991.562W
2020-02-01,3417.7212W
2020-02-02,2770.3008W
2020-02-03,1964.6528W
2020-02-04,561.3197W
2020-02-05,2473.4719W
2020-02-06,2975.6533W
2020-02-07,3148.96W
2020-02-08,3251.6143W
2020-02-09,3341.8015W
2020-02-10,2605.3413W
2020-02-11,3885.2178W
2020-02-12,3026.0615W
2020-02-13,2114.2266W
2020-02-14,3740.969W
2020-02-15,3331.9773W
2020-02-16,3053.2153W
2020-02-17,3253.7197W
2020-02-18,3151.6462W
2020-02-19,1060.4274W
2020-02-20,2886.0676W
2020-02-21,4177.2559W
2020-02-22,3007.5293W
2020-02-23,1810.8646W
2020-02-24,1240.6544W
2020-02-25,3311.8115W
2020-02-26,171.5938W
2020-02-27,3554.9119W
2020-02-28,4185.0576W
2020-02-29,927.6957W
2020-03-01,996.7518W
2020-03-02,2839.8896W
2020-03-03,1297.9781W
2020-03-04,2705.6409W
2020-03-05,3856.9858W
2020-03-06,417.3022W
2020-03-07,2686.6714W
2020-03-08,3496.8057W
2020-03-09,1985.1586W
2020-03-10,3386.1587W
2020-03-11,2980.5137W
2020-03-12,3832.7144W
2020-03-13,380.6966W
2020-03-14,2070.7056W
2020-03-15,4663.5542W
2020-03-16,4491.7617W
2020-03-17,3384.8911W
2020-03-18,3341.9272W
2020-03-19,4300.7632W
2020-03-20,4222.7881W
2020-03-21,950.0608W
2020-03-22,2058.2317W
2020-03-23,4234.1421W
2020-03-24,1535.3856W
2020-03-25,1622.8365W
2020-03-26,199.2671W
2020-03-27,3350.384W
2020-03-28,4171.4238W
2020-03-29,2520.8259W
2020-03-30,1539.9681W
2020-03-31,3301.0254W
2020-04-01,4533.7124W
2020-04-02,4592.0W
2020-04-03,3533.4099W
2020-04-04,2164.1357W
2020-04-05,4418.2393W
2020-04-06,4314.7681W
2020-04-07,4574.9756W
2020-04-08,4494.0601W
2020-04-09,4367.3335W
2020-04-10,3617.4192W
2020-04-11,3805.4338W
2020-04-12,3929.4131W
2020-04-13,2286.0364W
2020-04-14,4241.9639W
2020-04-21,3924.3589W
2020-04-22,4347.4136W
2020-04-23,4280.2915W
2020-04-24,3793.2126W
2020-04-25,3641.3257W
2020-04-26,4017.9258W
2020-04-27,2901.7185W
2020-04-28,3689.0564W
2020-04-29,704.5582W
2020-04-30,3714.9265W
2020-05-01,3053.9431W
2020-05-02,3569.4524W
2020-05-03,2410.9666W
2020-05-04,3779.5027W
2020-05-05,728.1741W
2020-05-06,4357.269W
2020-05-07,4142.187W
2020-05-08,3901.4783W
2020-05-09,2905.2834W
2020-05-10,1853.1946W
2020-05-11,1515.6631W
2020-05-12,1837.6555W
2020-05-13,2757.5444W
2020-05-14,2230.2688W
2020-05-15,1550.0273W
2020-05-16,2237.6667W
2020-05-17,2947.6973W
2020-05-18,3652.7407W
2020-05-19,1377.5598W
2020-05-20,1712.6561W
2020-05-21,2649.1587W
2020-05-22,3715.0688W
2020-05-23,2886.9946W
2020-05-24,3602.8684W
2020-05-25,2348.3069W
2020-05-26,2283.552W
2020-05-27,3573.2407W
2020-05-28,1781.1146W
2020-05-29,2875.0637W
2020-05-30,1340.933W
2020-05-31,1077.615W
2020-06-01,2260.2539W
2020-06-02,3600.7151W
2020-06-03,3072.5928W
2020-06-04,2176.2021W
2020-06-05,1569.5393W
2020-06-06,2723.7693W
2020-06-07,3115.2886W
2020-06-08,909.8192W
2020-06-09,1249.0762W
2020-06-10,1249.4767W
2020-06-11,3266.3806W
2020-06-12,3739.8462W
2020-06-13,3709.4541W
2020-06-14,1967.318W
2020-06-15,715.0942W
2020-06-16,2004.4691W
2020-06-17,2623.364W
2020-06-18,2629.7239W
2020-06-19,2187.5515W
2020-06-20,1097.8817W
2020-06-21,1029.0834W
2020-06-22,4014.7886W
2020-06-23,3590.7817W
2020-06-24,2483.4189W
2020-06-25,1611.6649W
2020-06-26,3477.7283W
2020-06-27,3305.3928W
2020-06-28,2800.2783W
2020-06-29,1249.9163W
2020-06-30,2532.8477W
2020-07-01,2377.0044W
2020-07-02,1780.6196W
2020-07-03,1254.6062W
2020-07-04,3001.2346W
2020-07-05,3643.3538W
2020-07-06,2766.5811W
2020-07-07,2900.907W
2020-07-08,2820.0549W
2020-07-09,3608.2834W
2020-07-10,3611.0674W
2020-07-11,809.0W
2020-07-12,2978.627W
2020-07-13,3004.073W
2020-07-14,3287.0364W
2020-07-15,2776.0156W
2020-07-16,2243.873W
2020-07-17,2608.8564W
2020-07-18,1204.8895W
2020-07-19,2342.5161W
2020-07-20,3172.2827W
2020-07-21,3423.5W
2020-07-22,1999.3423W
2020-07-23,2730.9629W
2020-07-24,1880.3224W
2020-07-25,2424.0332W
2020-07-26,1964.0054W
2020-07-27,3814.2742W
2020-07-28,3276.0486W
2020-07-29,2695.5081W
2020-07-30,3086.0854W
2020-07-31,3679.8423W
2020-08-01,3803.0435W
2020-08-02,1969.0273W
2020-08-03,1212.1182W
2020-08-04,1609.8468W
2020-08-05,1216.1389W
2020-08-06,3378.0723W
2020-08-07,3324.3923W
2020-08-08,3766.8333W
2020-08-09,3277.9944W
2020-08-10,3527.7207W
2020-08-11,2199.7922W
2020-08-12,3343.2769W
2020-08-13,2189.5139W
2020-08-14,1949.3237W
2020-08-15,2146.4229W
2020-08-16,2693.4675W
2020-08-17,2263.3354W
2020-08-18,1805.8284W
2020-08-19,3360.5664W
2020-08-20,3957.8621W
2020-08-21,3850.0813W
2020-08-22,3475.7073W
2020-08-23,2083.4233W
2020-08-24,1050.0358W
2020-08-25,3799.5952W
2020-08-26,3703.1538W
2020-08-27,3779.5029W
2020-08-28,3031.2891W
2020-08-29,2529.4941W
2020-08-30,1818.8735W
2020-08-31,1104.7455W
2020-09-01,2734.1729W
2020-09-02,1528.3394W
2020-09-03,3392.5989W
2020-09-04,3570.594W
2020-09-05,3966.3477W
2020-09-06,1117.1731W
2020-09-07,1477.7405W
2020-09-08,2879.6499W
2020-09-09,4118.0371W
2020-09-10,3060.6875W
2020-09-11,3193.8608W
2020-09-12,3829.5095W
2020-09-13,3542.5669W
2020-09-14,3743.4304W
2020-09-15,3888.6265W
2020-09-16,2912.6299W
2020-09-17,1562.8516W
2020-09-18,3447.0264W
2020-09-19,3153.0974W
2020-09-20,3823.196W
2020-09-21,3774.4768W
2020-09-22,3103.9868W
2020-09-23,2973.1233W
2020-09-24,2684.5034W
2020-09-25,399.3034W
2020-09-26,2630.7605W
2020-09-27,3410.3691W
2020-09-28,356.4234W
2020-09-29,2519.1587W
2020-09-30,3783.5203W
2020-10-01,3883.6807W
2020-10-02,867.3793W
2020-10-03,2167.5378W
2020-10-04,3426.1631W
2020-10-05,2346.0781W
2020-10-06,4097.8286W
2020-10-07,1201.554W
2020-10-08,3859.293W
2020-10-09,3466.2214W
2020-10-10,2559.1785W
2020-10-11,329.5116W
2020-10-12,1024.2408W
2020-10-13,622.6946W
2020-10-14,3333.8696W
2020-10-15,419.5385W
2020-10-16,713.2595W
2020-10-17,1833.4254W
2020-10-18,2469.5789W
